"No.","Time","Source","Destination","Protocol","Length","Info","Type","Data rate"
"5468","2.220424","PlanetBi_cb:a8:70","08:cb:c4:d3:fc:9f","802.11","1390","QoS Data, SN=1024, FN=8, Flags=.p....F..","QoS Data","433.333,433.333"
"5469","2.220538","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5470","2.220690","Pegatron_44:31:70 (78:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5471","2.220826","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","182","QoS Data, SN=2647, FN=0, Flags=.p....F.C","QoS Data","87.75,87.75"
"5472","2.221141","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5473","2.221245","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5474","2.221383","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5475","2.221758","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5476","2.221854","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5477","2.222019","fc:fe:a0:b1:a1:45","44:4b:8e:4b:df:52","802.11","1386","QoS Data, SN=3482, FN=10, Flags=.p....F..","QoS Data","433.333,433.333"
"5478","2.222117","3e:fc:e0:80:00:00","IntelCor_b1:42:d4","802.11","1390","QoS Data, SN=1065, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5479","2.222223","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5480","2.222311","Pegatron_44:31:70 (78:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5481","2.222522","Pegatron_44:31:70 (78:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5482","2.222596","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5483","2.222673","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5484","2.222816","4e:50:f1:80:00:00","44:0e:b8:a4:98:1c","802.11","1390","Fragmented IEEE 802.11 frame","QoS Data","433.333,433.333"
"5485","2.222978","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5486","2.223080","","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","39","Acknowledgement, Flags=........C","Acknowledgement","24"
"5487","2.223224","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5488","2.223316","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5489","2.223526","","","802.11","1386","Unrecognized (Reserved frame), Flags=o..PRM.T.","0x0011","433.333,433.333"
"5490","2.223601","d0:aa:6c:e0:36:00","IntelCor_b1:42:d4","802.11","1390","QoS Data, SN=1074, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5491","2.223675","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5492","2.223790","","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","39","Acknowledgement, Flags=........C","Acknowledgement","24"
"5493","2.223863","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5494","2.223968","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5495","2.224228","97:80:b7:28:98:df","IntelCor_b1:42:54","802.11","1386","QoS Data, SN=1077, FN=9, Flags=.p....F..","QoS Data","433.333,433.333"
"5496","2.224303","36:5f:82:24:b2:8d","75:dd:37:68:04:62","802.11","1386","QoS Data, SN=90, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5497","2.224378","84:66:43:75:c4:fc","IntelCor_b1:42:d4","802.11","1386","QoS Data, SN=546, FN=14, Flags=.p....F..","QoS Data","433.333,433.333"
"5498","2.224452","f5:6b:f0:80:00:00","IntelCor_b1:42:54","802.11","1390","QoS Data, SN=1085, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5499","2.224527","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5500","2.224645","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5501","2.224719","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5502","2.224793","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5503","2.224908","Pegatron_44:31:70 (78:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5504","2.225022","","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","39","Acknowledgement, Flags=........C","Acknowledgement","24"
"5505","2.225564","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5506","2.225645","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5507","2.225718","Intel_80:00:00","IntelCor_b1:42:d4","802.11","1390","QoS Data, SN=1094, FN=0, Flags=.p....F..","QoS Data","433.333,433.333"
"5508","2.225791","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5509","2.226376","8e:7a:8a:19:d7:32","Broadcast","802.11","347","Beacon frame, SN=879, FN=0, Flags=........C, BI=100, SSID=Broadcast","Beacon frame","6"
"5510","2.226461","","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","39","Acknowledgement, Flags=........C","Acknowledgement","24"
"5511","2.226581","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
